GEOID20,COLOR,Client_Perspective,DISTRICT,DISTRICT_C,DISTRICT_N,District_Tax_rate,District_Valuation,FID,NAME,NAME2,NAME20,NCES_DISTR,Office_Controller,Pfluger_Tier_Rank,SDLEA
4800001,6,,054-901,054901,54901,0.48,110459114,730,Crosbyton Cons ISD,Crosbyton Cons,Crosbyton Consolidated Independent School District,4800001,HOUSTON,,00001
4800002,5,,063-903,063903,63903,0.3346,95050194,85,Spur ISD,Spur,Spur Independent School District,4800002,DFW - LUBBOCK,,00002
4800003,4,,069-901,069901,69901,0.4,87974658,334,Rocksprings ISD,Rocksprings,Rocksprings Independent School District,4800003,HOUSTON,,00003
4800005,6,,177-903,177903,177903,0,1815543253,287,Blackwell Cons ISD,Blackwell Cons,Blackwell Consolidated Independent School District,4800005,UNCATEGORIZED,,00005
4800006,3,,217-901,217901,217901,0.275,1970906341,479,Aspermont ISD,Aspermont,Aspermont Independent School District,4800006,DFW - LUBBOCK,,00006
4800007,7,,042-905,042905,42905,0.0568,836881808,445,Panther Creek Cons ISD,Panther Creek Cons,Panther Creek Consolidated Independent School District,4800007,AUSTIN,,00007
4800008,2,,105-904,105904,105904,0.4,87974658,686,Dripping Springs ISD,Dripping Springs,Dripping Springs Independent School District,4800008,HOUSTON,,00008
4800009,3,,105-905,105905,105905,0.2711,88566645,184,Wimberley ISD,Wimberley,Wimberley Independent School District,4800009,AUSTIN,,00009
4800010,1,P,105-906,105906,105906,0.4877,817064936,685,Hays Cons ISD,Hays Cons,Hays Consolidated Independent School District,4800010,AUSTIN,,00010
4800011,4,,126-901,126901,126901,0.5,2135573678,848,Alvarado ISD,Alvarado,Alvarado Independent School District,4800011,DFW,,00011
4800012,4,,139-905,139905,139905,0.18,406127374,561,Chisum ISD,Chisum,Chisum Independent School District,4800012,DFW,,00012
4807350,7,,021-901,021901,21901,0.263,344601350,642,College Station ISD,College Station,College Station Independent School District,4807350,HOUSTON,,07350
4807380,4,,109-901,109901,109901,0.415,195630522,773,Abbott ISD,Abbott,Abbott Independent School District,4807380,DFW,,07380
4807410,1,,095-901,095901,95901,0.33,546324262,64,Abernathy ISD,Abernathy,Abernathy Independent School District,4807410,DFW - LUBBOCK,,07410
4807440,6,,221-901,221901,221901,0.3284,5702031317,282,Abilene ISD,Abilene,Abilene Independent School District,4807440,UNCATEGORIZED,,07440
4807470,1,,014-901,014901,14901,0.4264,711746819,637,Academy ISD,Academy,Academy Independent School District,4807470,AUSTIN,,07470
4807500,1,,180-903,180903,180903,0.2948,63670978,84,Adrian ISD,Adrian,Adrian Independent School District,4807500,UNCATEGORIZED,,07500
4807530,4,,178-901,178901,178901,0.2334,239087248,109,Agua Dulce ISD,Agua Dulce,Agua Dulce Independent School District,4807530,CORPUS CHRISTI,,07530
4807590,3,p,015-901,015901,15901,0.2,8040077537,916,Alamo Heights ISD,Alamo Heights,Alamo Heights Independent School District,4807590,SAN ANTONIO,,07590
4807650,6,,250-906,250906,250906,0.029,418005387,654,Alba-Golden ISD,Alba-Golden,Alba-Golden Independent School District,4807650,DFW,,07650
4807680,1,,209-901,209901,209901,0,329721678,206,Albany ISD,Albany,Albany Independent School District,4807680,UNCATEGORIZED,,07680
4807710,5,,101-902,101902,101902,0.3025,27914691800,14,Aldine ISD,Aldine,Aldine Independent School District,4807710,HOUSTON,,07710
4807780,6,,184-907,184907,184907,0.425,5961040354,870,Aledo ISD,Aledo,Aledo Independent School District,4807780,DFW,,07780
4807800,3,,125-901,125901,125901,0.2555,1421274163,227,Alice ISD,Alice,Alice Independent School District,4807800,CORPUS CHRISTI,,07800
4807830,2,,101-903,101903,101903,0.205,19544562417,887,Alief ISD,Alief,Alief Independent School District,4807830,HOUSTON,,07830
4807890,1,,043-901,043901,43901,0.243,2192348250,999,Allen ISD,Allen,Allen Independent School District,4807890,CORPUS CHRISTI,,07890
4807950,1,,022-901,022901,22901,0.19,828359294,158,Alpine ISD,Alpine,Alpine Independent School District,4807950,UNCATEGORIZED,,07950
4807980,3,,037-901,037901,37901,0.3,8634040397,143,Alto ISD,Alto,Alto Independent School District,4807980,CORPUS CHRISTI,,07980
4808090,5,,020-901,020901,20901,0.4348,12171556786,885,Alvin ISD,Alvin,Alvin Independent School District,4808090,HOUSTON,,08090
4808100,1,,249-901,249901,249901,0.126,628424696,743,Alvord ISD,Alvord,Alvord Independent School District,4808100,DFW,,08100
4808130,4,,188-901,188901,188901,0.159,9972519692,526,Amarillo ISD,Amarillo,Amarillo Independent School District,4808130,DFW - LUBBOCK,,08130
4808160,3,,140-901,140901,140901,0,53787072,18,Amherst ISD,Amherst,Amherst Independent School District,4808160,DFW - LUBBOCK,,08160
4808190,7,,036-901,036901,36901,0.5,828259572,571,Anahuac ISD,Anahuac,Anahuac Independent School District,4808190,HOUSTON,,08190
4808230,4,,093-901,093901,93901,0.208,999171526,546,Anderson-Shiro Cons ISD,Anderson-Shiro Cons,Anderson-Shiro Consolidated Independent School District,4808230,HOUSTON,,08230
4808280,6,,002-901,002901,2901,0.14,8906252322,593,Andrews ISD,Andrews,Andrews Independent School District,4808280,DFW - LUBBOCK,,08280
4808310,1,,020-902,020902,20902,0.375,5366101059,883,Angleton ISD,Angleton,Angleton Independent School District,4808310,HOUSTON,,08310
